Weekday,total_revenue,total_orders,avg_order_value
pon.,17925.100000000002,472,42.866203208556115
wt.,18637.379999999961,470,45.548786324786334
śr.,16093.460000000003,436,41.248941176470616
czw.,16477.399999999998,433,43.3222692307692
pt.,17257.660000000011,453,42.73158088235293
sob.,15182.520000000002,382,46.266721991701239
niedz.,13858.060000000029,338,48.128156682027665
