Month_name,Monthsort,Weekday,Weekdaysort,Time_of_Day,hour_of_day,cash_type,total_orders,total_items_sold,total_revenue,average_order_value,units_per_transaction
gru,12,czw.,4,Morning,8,card,1,1,25.96,25.96,1.0
gru,12,czw.,4,Morning,9,card,1,1,25.96,25.96,1.0
gru,12,czw.,4,Morning,10,card,2,3,159.2,53.07,1.67
gru,12,czw.,4,Morning,11,card,3,3,92.58,30.86,1.0
gru,12,czw.,4,Afternoon,12,card,2,2,47.019999999999996,23.51,1.0
gru,12,czw.,4,Afternoon,13,card,2,2,71.52,35.76,1.0
gru,12,czw.,4,Afternoon,14,card,1,1,35.76,35.76,1.0
gru,12,czw.,4,Afternoon,15,card,2,2,56.819999999999993,28.41,1.0
gru,12,czw.,4,Afternoon,16,card,2,4,240.0,60.0,2.5
gru,12,czw.,4,Night,19,card,4,6,347.79999999999995,57.97,1.67
gru,12,czw.,4,Night,21,card,1,2,143.04,71.52,2.0
gru,12,pt.,5,Morning,7,card,1,1,25.96,25.96,1.0
gru,12,pt.,5,Morning,8,card,2,2,51.92,25.96,1.0
gru,12,pt.,5,Morning,9,card,2,2,56.82,28.41,1.0
gru,12,pt.,5,Morning,10,card,3,3,92.58,30.86,1.0
gru,12,pt.,5,Morning,11,card,1,1,35.76,35.76,1.0
gru,12,pt.,5,Afternoon,12,card,3,5,253.24,50.65,1.8
gru,12,pt.,5,Afternoon,14,card,2,2,61.72,30.86,1.0
gru,12,pt.,5,Afternoon,16,card,2,2,71.52,35.76,1.0
gru,12,pt.,5,Night,17,card,1,1,35.76,35.76,1.0
gru,12,pt.,5,Night,18,card,2,2,71.52,35.76,1.0
gru,12,pt.,5,Night,19,card,2,4,256.68,64.17,2.0
gru,12,pt.,5,Night,21,card,1,1,35.76,35.76,1.0
gru,12,pt.,5,Night,22,card,2,3,178.8,59.6,1.67
gru,12,sob.,6,Morning,8,card,1,1,30.86,30.86,1.0
gru,12,sob.,6,Morning,9,card,3,3,87.68,29.23,1.0
gru,12,sob.,6,Morning,10,card,4,5,235.62,47.12,1.4
gru,12,sob.,6,Morning,11,card,2,2,66.62,33.31,1.0
gru,12,sob.,6,Afternoon,13,card,1,2,123.44,61.72,2.0
gru,12,sob.,6,Afternoon,14,card,3,3,97.47999999999999,32.49,1.0
gru,12,sob.,6,Afternoon,15,card,4,5,245.41999999999996,49.08,1.4
gru,12,sob.,6,Afternoon,16,card,2,3,139.60000000000002,46.53,1.67
gru,12,sob.,6,Night,17,card,3,4,175.36,43.84,1.5
gru,12,sob.,6,Night,18,card,3,3,92.58,30.86,1.0
gru,12,sob.,6,Night,19,card,2,3,149.4,49.8,1.67
gru,12,sob.,6,Night,21,card,2,2,61.72,30.86,1.0
gru,12,sob.,6,Night,22,card,4,4,118.53999999999999,29.63,1.0
gru,12,niedz.,7,Morning,8,card,1,1,25.96,25.96,1.0
gru,12,niedz.,7,Morning,10,card,4,6,333.09999999999997,55.52,1.67
gru,12,niedz.,7,Morning,11,card,1,2,143.04,71.52,2.0
gru,12,niedz.,7,Afternoon,12,card,1,1,25.96,25.96,1.0
gru,12,niedz.,7,Afternoon,13,card,2,3,149.4,49.8,1.67
gru,12,niedz.,7,Afternoon,14,card,1,1,30.86,30.86,1.0
gru,12,niedz.,7,Afternoon,15,card,5,7,344.36,49.19,1.57
gru,12,niedz.,7,Afternoon,16,card,2,2,71.52,35.76,1.0
gru,12,niedz.,7,Night,17,card,5,6,241.98,40.33,1.33
gru,12,niedz.,7,Night,18,card,3,3,87.68,29.23,1.0
gru,12,niedz.,7,Night,19,card,2,3,169.0,56.33,1.67
gru,12,niedz.,7,Night,20,card,3,3,107.28,35.76,1.0
gru,12,niedz.,7,Night,21,card,5,5,159.2,31.84,1.0
