order_id,order_date,card,coffee_name,total_value_of_order,avg_daily_aov,daily_aov_variance_percent
2025-02-21 16:48:58.515+00_ANON-0000-0000-1165,2025-02-21,ANON-0000-0000-1165,Hot Chocolate,71.52,38.7,84.82
2025-02-21 16:48:58.515+00_ANON-0000-0000-1165,2025-02-21,ANON-0000-0000-1165,Latte,71.52,38.7,84.82
2025-02-21 19:08:18.825+00_ANON-0000-0000-1178,2025-02-21,ANON-0000-0000-1178,Cocoa,71.52,38.7,84.82
2025-02-21 19:08:18.825+00_ANON-0000-0000-1178,2025-02-21,ANON-0000-0000-1178,Cocoa,71.52,38.7,84.82
2024-05-19 18:12:36.304+00_ANON-0000-0000-0186,2024-05-19,ANON-0000-0000-0186,Hot Chocolate,93.56,50.83,84.06
2024-05-19 18:12:36.304+00_ANON-0000-0000-0186,2024-05-19,ANON-0000-0000-0186,Espresso,93.56,50.83,84.06
2024-05-19 18:12:36.304+00_ANON-0000-0000-0186,2024-05-19,ANON-0000-0000-0186,Americano with Milk,93.56,50.83,84.06
2025-01-04 16:12:55.200+00_ANON-0000-0000-1034,2025-01-04,ANON-0000-0000-1034,Cortado,128.34,69.85,83.73
2025-01-04 16:12:55.200+00_ANON-0000-0000-1034,2025-01-04,ANON-0000-0000-1034,Cappuccino,128.34,69.85,83.73
2025-01-04 16:12:55.200+00_ANON-0000-0000-1034,2025-01-04,ANON-0000-0000-1034,Cappuccino,128.34,69.85,83.73
2025-01-04 16:12:55.200+00_ANON-0000-0000-1034,2025-01-04,ANON-0000-0000-1034,Americano with Milk,128.34,69.85,83.73
2024-08-20 20:44:14.852+00_ANON-0000-0000-0531,2024-08-20,ANON-0000-0000-0531,Latte,65.64,35.76,83.57
2024-08-20 20:44:14.852+00_ANON-0000-0000-0531,2024-08-20,ANON-0000-0000-0531,Latte,65.64,35.76,83.57
2025-03-03 17:31:22.380+00_ANON-0000-0000-1198,2025-03-03,ANON-0000-0000-1198,Americano,87.68,48.01,82.65
2025-03-03 17:31:22.380+00_ANON-0000-0000-1198,2025-03-03,ANON-0000-0000-1198,Hot Chocolate,87.68,48.01,82.65
2025-03-03 17:31:22.380+00_ANON-0000-0000-1198,2025-03-03,ANON-0000-0000-1198,Americano,87.68,48.01,82.65
2024-12-03 21:33:16.867+00_ANON-0000-0000-0685,2024-12-03,ANON-0000-0000-0685,Latte,107.28,58.74,82.62
2024-12-03 21:33:16.867+00_ANON-0000-0000-0685,2024-12-03,ANON-0000-0000-0685,Hot Chocolate,107.28,58.74,82.62
2024-12-03 21:33:16.867+00_ANON-0000-0000-0685,2024-12-03,ANON-0000-0000-0685,Cappuccino,107.28,58.74,82.62
2025-02-05 11:49:35.788+00_ANON-0000-0000-1163,2025-02-05,ANON-0000-0000-1163,Americano,77.88000000000001,42.9,81.53
2025-02-05 11:49:35.788+00_ANON-0000-0000-1163,2025-02-05,ANON-0000-0000-1163,Americano,77.88000000000001,42.9,81.53
2025-02-05 11:49:35.788+00_ANON-0000-0000-1163,2025-02-05,ANON-0000-0000-1163,Americano,77.88000000000001,42.9,81.53
2024-11-05 18:52:56.274+00_ANON-0000-0000-0455,2024-11-05,ANON-0000-0000-0455,Cappuccino,107.28,59.27,80.99
2024-11-05 18:52:56.274+00_ANON-0000-0000-0455,2024-11-05,ANON-0000-0000-0455,Cappuccino,107.28,59.27,80.99
2024-11-05 18:52:56.274+00_ANON-0000-0000-0455,2024-11-05,ANON-0000-0000-0455,Cappuccino,107.28,59.27,80.99
2024-07-31 20:50:07.411+00_ANON-0000-0000-0443,2024-07-31,ANON-0000-0000-0443,Cortado,78.86,43.59,80.89
2024-07-31 20:50:07.411+00_ANON-0000-0000-0443,2024-07-31,ANON-0000-0000-0443,Cortado,78.86,43.59,80.89
2024-07-31 20:50:07.411+00_ANON-0000-0000-0443,2024-07-31,ANON-0000-0000-0443,Latte,78.86,43.59,80.89
2024-11-12 16:47:14.364+00_ANON-0000-0000-0891,2024-11-12,ANON-0000-0000-0891,Hot Chocolate,107.28,59.6,80.0
2024-11-12 16:47:14.364+00_ANON-0000-0000-0891,2024-11-12,ANON-0000-0000-0891,Hot Chocolate,107.28,59.6,80.0
2024-11-12 16:47:14.364+00_ANON-0000-0000-0891,2024-11-12,ANON-0000-0000-0891,Cocoa,107.28,59.6,80.0
2024-08-14 19:34:51.731+00_ANON-0000-0000-0012,2024-08-14,ANON-0000-0000-0012,Latte,55.84,31.08,79.64
2024-08-14 19:34:51.731+00_ANON-0000-0000-0012,2024-08-14,ANON-0000-0000-0012,Cortado,55.84,31.08,79.64
2025-02-03 17:13:21.519+00_ANON-0000-0000-1164,2025-02-03,ANON-0000-0000-1164,Hot Chocolate,71.52,39.83,79.54
